dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.003659,23.850000,0.003704,0.148148,2.962963,59.259259,6.283115
0.050000,2.014954,23.849998,0.014999,0.225909,1.555224,-28.154785,6.282898
0.050000,2.033782,23.849989,0.033827,0.376565,3.013111,29.157744,6.282534
0.050000,2.060147,23.849965,0.060192,0.527295,3.014593,0.029639,6.282018
0.050000,2.094054,23.849914,0.094099,0.678128,3.016672,0.041586,6.281344
0.050000,2.135508,23.849820,0.135553,0.829096,3.019354,0.053628,6.280504
0.050000,2.184519,23.849664,0.184565,0.980228,3.022643,0.065794,6.279488
0.050000,2.241097,23.849421,0.241143,1.131555,3.026549,0.078118,6.278285
0.050000,2.305251,23.849062,0.305298,1.283109,3.031081,0.090636,6.276882
0.050000,2.376995,23.848552,0.377044,1.434922,3.036250,0.103389,6.275264
0.050000,2.456344,23.847850,0.456395,1.587026,3.042071,0.116420,6.273413
0.050000,2.543311,23.846910,0.543368,1.739454,3.048560,0.129779,6.271310
0.050000,2.637915,23.845674,0.637980,1.892240,3.055736,0.143519,6.268934
0.050000,2.740174,23.844081,0.740251,2.045421,3.063621,0.157695,6.266262
0.050000,2.850107,23.842057,0.850203,2.199033,3.072240,0.172370,6.263269
0.050000,2.967735,23.839519,0.967859,2.353114,3.081620,0.187609,6.259926
0.050000,3.093081,23.836371,1.093244,2.507704,3.091794,0.203477,6.256205
0.050000,3.226167,23.832507,1.226386,2.662844,3.102796,0.220042,6.252073
0.050000,3.367017,23.827803,1.367315,2.818577,3.114664,0.237370,6.247494
0.050000,3.515656,23.822121,1.516062,2.974949,3.127440,0.255519,6.242431
0.050000,3.672108,23.815308,1.672663,3.132008,3.141167,0.274540,6.236845
0.050000,3.836398,23.807186,1.837153,3.289802,3.155891,0.294466,6.230690
0.050000,4.008548,23.797561,2.009572,3.448385,3.171656,0.315306,6.223922
0.050000,4.188581,23.786213,2.189962,3.607810,3.188508,0.337032,6.216491
0.050000,4.376517,23.772897,2.378369,3.768135,3.206486,0.359567,6.208343
0.050000,4.572371,23.757340,2.574840,3.929416,3.225624,0.382769,6.199422
0.050000,4.776154,23.739237,2.779426,4.091713,3.245945,0.406400,6.189669
0.050000,4.984019,23.718654,2.988308,4.177639,1.718514,-30.548605,6.179218
0.050000,5.192096,23.695797,3.197636,4.186567,0.178567,-30.798953,6.168243
0.050000,5.400351,23.670547,3.407416,4.195611,0.180870,0.046068,6.156735
