dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.003540,22.150000,0.003704,0.148148,2.962963,59.259259,6.283115
0.050000,2.014467,22.149998,0.014630,0.218535,1.407739,-31.104475,6.282898
0.050000,2.032675,22.149989,0.032839,0.364176,2.912815,30.101514,6.282534
0.050000,2.058162,22.149966,0.058326,0.509743,2.911333,-0.029641,6.282018
0.050000,2.090923,22.149917,0.091087,0.655205,2.909253,-0.041589,6.281344
0.050000,2.130949,22.149827,0.131113,0.800534,2.906572,-0.053631,6.280504
0.050000,2.178234,22.149676,0.178398,0.945698,2.903282,-0.065798,6.279488
0.050000,2.232767,22.149442,0.232932,1.090667,2.899376,-0.078124,6.278285
0.050000,2.294536,22.149096,0.294702,1.235409,2.894844,-0.090644,6.276882
0.050000,2.363529,22.148605,0.363697,1.379893,2.889674,-0.103400,6.275264
0.050000,2.439730,22.147932,0.439901,1.524085,2.883852,-0.116435,6.273413
0.050000,2.523123,22.147029,0.523299,1.667953,2.877362,-0.129798,6.271310
0.050000,2.613689,22.145847,0.613872,1.811462,2.870185,-0.143542,6.268934
0.050000,2.711406,22.144325,0.711601,1.954577,2.862299,-0.157725,6.266262
0.050000,2.816251,22.142394,0.816464,2.097261,2.853678,-0.172409,6.263269
0.050000,2.928199,22.139979,0.928437,2.239476,2.844295,-0.187657,6.259926
0.050000,3.047220,22.136990,1.047496,2.381182,2.834118,-0.203537,6.256205
0.050000,3.173284,22.133329,1.173613,2.522338,2.823113,-0.220117,6.252073
0.050000,3.306355,22.128885,1.306758,2.662900,2.811239,-0.237462,6.247494
0.050000,3.446394,22.123533,1.446899,2.802822,2.798458,-0.255633,6.242431
0.050000,3.593357,22.117133,1.594002,2.942059,2.784724,-0.274679,6.236845
0.050000,3.747197,22.109528,1.748030,3.080558,2.769992,-0.294636,6.230690
0.050000,3.907860,22.100546,1.908944,3.218269,2.754216,-0.315513,6.223922
0.050000,4.075284,22.089993,2.076701,3.355137,2.737352,-0.337283,6.216491
0.050000,4.249403,22.077656,2.251256,3.491105,2.719359,-0.359871,6.208343
0.050000,4.430140,22.063300,2.432562,3.626115,2.700202,-0.383134,6.199422
0.050000,4.617408,22.046666,2.620567,3.760108,2.679860,-0.406840,6.189669
0.050000,4.807594,22.027834,2.811683,3.822325,1.244343,-28.710340,6.179218
0.050000,4.997123,22.007014,3.002353,3.813393,-0.178642,-28.459694,6.168243
0.050000,5.185958,21.984120,3.192570,3.804345,-0.180950,-0.046162,6.156735
0.050000,5.374056,21.959065,3.382330,3.795193,-0.183043,-0.041855,6.144689
0.050000,5.561374,21.931761,3.571627,3.785950,-0.184864,-0.036426,6.132099
0.050000,5.747865,21.902123,3.760459,3.776632,-0.186353,-0.029780,6.118961
0.050000,5.933480,21.870066,3.948822,3.767260,-0.187444,-0.021827,6.105272
0.050000,6.118168,21.835506,4.136715,3.757857,-0.188068,-0.012487,6.091031
0.050000,6.301873,21.798362,4.324137,3.748449,-0.188153,-0.001697,6.076235
0.050000,6.484539,21.758554,4.511091,3.739068,-0.187624,0.010592,6.060889
0.050000,6.666107,21.716004,4.697578,3.729748,-0.186404,0.024397,6.044994
0.050000,6.846516,21.670636,4.883604,3.720527,-0.184418,0.039711,6.028557
0.050000,7.025704,21.622379,5.069177,3.711447,-0.181594,0.056482,6.011586
0.050000,7.203607,21.571165,5.254304,3.702554,-0.177863,0.074620,5.994092
0.050000,7.380159,21.516928,5.438999,3.693896,-0.173164,0.093983,5.976088
0.050000,7.555293,21.459608,5.623275,3.685523,-0.167445,0.114380,5.957593
0.050000,7.728944,21.399150,5.807150,3.677490,-0.160667,0.135562,5.938625
0.050000,7.901045,21.335502,5.990642,3.669850,-0.152806,0.157228,5.919208
